#  file: fsfProjectInterfaces2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.interface, pi.datasource_id 
#  FROM fsf_project_interfaces pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.interface
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	interface	datasource_id
3543	ccvssh	Command Line	221
5154	CD-ROMControl	X Window System	221
3542	cdargs	Command Line	221
3541	cday-php	Library	221
3541	cday-php	Web	221
6266	cdblib	Library	221
3540	cdcd	Command Line	221
3539	cdda2wav	X Window System	221
5153	CDfs	Daemon	221
3537	cdparanoia	Command Line	221
3536	cdrdao	Command Line	221
3536	cdrdao	X Window System	221
3535	cdrom	Command Line	221
3534	cdrtools	Command Line	221
3533	cdrtoolsdvdextensions	Command Line	221
3532	cds-php	Web	221
5356	cdsindico	X Window System	221
5152	CE	Console	221
5115	Cedar	Command Line	221
5597	ceegeye	Library	221
3531	celebrat	Command Line	221
6026	celementtree	Command Line	221
5964	celery	Command Line	221
5964	celery	Library	221
3530	celestia	X Window System	221
3529	centerICQ	Console	221
3528	cereal	Command Line	221
3528	cereal	X Window System	221
3527	cerebral_procreation	Command Line	221
6033	certi	Command Line	221
3526	cervisia	X Window System	221
5151	CFClient	X Window System	221
5150	CFDG	X Window System	221
3525	cfengine	Command Line	221
3525	cfengine	Console	221
5149	CFL	Library	221
3524	cflow	Command Line	221
5114	Cflow	Command Line	221
3523	cflow2vcg	Command Line	221
3522	cfs-el	Command Line	221
3521	cfv	Command Line	221
3520	cgal	Library	221
5148	CGI-Cache	Web	221
5147	CGI-Irc	Web	221
3519	cgi-util	Library	221
5146	CGICalendar	Web	221
3518	cgicc	Command Line	221
3517	cgipaf	Web	221
3516	cgipplib	Library	221
3515	cgiutils	Command Line	221
3514	cgixx	Library	221
6053	cgkit	Command Line	221
6053	cgkit	Library	221
3513	cgoban	X Window System	221
3512	chaco	Command Line	221
3511	change	Command Line	221
3510	changedfiles	Command Line	221
3510	changedfiles	Daemon	221
3508	changesuffix	Command Line	221
3507	changetrack	Command Line	221
