#  file: sfRawDonorsData2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseHtmlDonorsSF.pl
#
#  This particular file includes raw "Donors" data for each project 
#  that shows this info on their SF project pages. (Not every project lists this 
#  information.)
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  SELECT * FROM `project_donors` WHERE datasource_id=172
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  donor_id: the donor's name (PK)
#  date_collected: this is the date the data was inserted
#  datasource_id: when was this data gathered, and on which run? (PK)
proj_unixname	donor_id	datasource_id	date_collected
clansphere	patkite	172	2009-06-11 22:15:36
clansphere	americanspirit	172	2009-06-11 22:15:36
clansphere	davidkra	172	2009-06-11 22:15:36
clib2	capehill	172	2009-06-11 22:15:39
clib2	ssolie	172	2009-06-11 22:15:39
clib2	abalabanb	172	2009-06-11 22:15:39
clib2	Anonymous donor(s)	172	2009-06-11 22:15:39
clipp	Anonymous donor(s)	172	2009-06-11 22:15:40
clipp	nanomid	172	2009-06-11 22:15:40
clipsrules	nicolagiacobbe	172	2009-06-11 22:15:41
clisp	gspofford	172	2009-06-11 22:15:41
clisp	funkyj	172	2009-06-11 22:15:41
clisp	rurban	172	2009-06-11 22:15:41
clisp	Anonymous donor(s)	172	2009-06-11 22:15:41
clojure	somejan	172	2009-06-11 22:15:41
clojure	tpratley	172	2009-06-11 22:15:41
clojure	xrath	172	2009-06-11 22:15:41
clojure	johnwayner	172	2009-06-11 22:15:41
clojure	gjahad	172	2009-06-11 22:15:41
clonezilla	Anonymous donor(s)	172	2009-06-11 22:15:42
clonezilla	chenvertjd	172	2009-06-11 22:15:42
clonezilla	z-bail	172	2009-06-11 22:15:42
clucene	jimsoule	172	2009-06-11 22:15:43
clusterssh	rafke1	172	2009-06-11 22:15:44
cmsmadesimple	aportale	172	2009-06-11 22:15:46
cmsmadesimple	Anonymous donor(s)	172	2009-06-11 22:15:46
cnccodegen	vijaychd	172	2009-06-11 22:15:47
cnwizards	casterle	172	2009-06-11 22:15:47
cnwizards	Anonymous donor(s)	172	2009-06-11 22:15:47
coaddons	laozisailor	172	2009-06-11 22:15:47
codeblocks	haszaidi	172	2009-06-11 22:15:50
codeblocks	ykasidit	172	2009-06-11 22:15:50
codeblocks	dess54nancy	172	2009-06-11 22:15:50
codeblocks	seronis	172	2009-06-11 22:15:50
